,entry1,entry2,link,value,name,pathway
172,1488,1583,PPrel,--|,inhibition,hsa05206
173,1488,1584,PPrel,--|,inhibition,hsa05206
174,1488,1604,PPrel,--|,inhibition,hsa05206
175,1488,1605,PPrel,--|,inhibition,hsa05206
176,1489,1582,PPrel,--|,inhibition,hsa05206
177,1489,1615,PPrel,--|,inhibition,hsa05206
178,1490,1582,PPrel,--|,inhibition,hsa05206
179,1491,1582,PPrel,--|,inhibition,hsa05206
180,1491,1605,PPrel,--|,inhibition,hsa05206
181,1490,1623,PPrel,--|,inhibition,hsa05206
182,1490,1624,PPrel,--|,inhibition,hsa05206
183,1491,1625,PPrel,--|,inhibition,hsa05206
184,1492,1582,PPrel,--|,inhibition,hsa05206
185,1492,1604,PPrel,--|,inhibition,hsa05206
186,1492,1633,PPrel,--|,inhibition,hsa05206
187,1492,1634,PPrel,--|,inhibition,hsa05206
188,1492,1635,PPrel,--|,inhibition,hsa05206
189,1492,1636,PPrel,--|,inhibition,hsa05206
190,1507,1508,PPrel,--|,inhibition,hsa05206
191,1507,1509,PPrel,--|,inhibition,hsa05206
192,1510,1511,PPrel,--|,inhibition,hsa05206
193,1510,1512,PPrel,--|,inhibition,hsa05206
194,1513,1514,PPrel,--|,inhibition,hsa05206
195,1513,1515,PPrel,--|,inhibition,hsa05206
196,1516,1517,PPrel,--|,inhibition,hsa05206
197,1516,1518,PPrel,--|,inhibition,hsa05206
198,1170,1182,PPrel,--|,inhibition,hsa05206
199,1170,1221,PPrel,--|,inhibition,hsa05206
200,1170,1222,PPrel,--|,inhibition,hsa05206
201,1171,1279,PPrel,--|,inhibition,hsa05206
202,1171,1282,PPrel,--|,inhibition,hsa05206
203,1172,1217,PPrel,--|,inhibition,hsa05206
204,1216,1217,PPrel,--|,inhibition,hsa05206
205,1174,1205,PPrel,--|,inhibition,hsa05206
206,1178,1237,PPrel,--|,inhibition,hsa05206
207,1178,1238,PPrel,--|,inhibition,hsa05206
208,1209,1210,PPrel,--|,inhibition,hsa05206
209,1243,1248,PPrel,--|,inhibition,hsa05206
210,1244,1249,PPrel,--|,inhibition,hsa05206
211,1245,1250,PPrel,--|,inhibition,hsa05206
212,1173,1185,PPrel,--|,inhibition,hsa05206
213,1173,1186,PPrel,--|,inhibition,hsa05206
214,1246,1252,PPrel,--|,inhibition,hsa05206
215,1246,1251,PPrel,--|,inhibition,hsa05206
216,1246,1253,PPrel,--|,inhibition,hsa05206
217,1175,1191,PPrel,--|,inhibition,hsa05206
218,1247,1254,PPrel,--|,inhibition,hsa05206
219,1247,1255,PPrel,--|,inhibition,hsa05206
220,1247,1256,PPrel,--|,inhibition,hsa05206
221,1176,1194,PPrel,--|,inhibition,hsa05206
222,1688,1194,PPrel,--|,inhibition,hsa05206
223,1177,1195,PPrel,--|,inhibition,hsa05206
224,1179,1231,PPrel,--|,inhibition,hsa05206
225,1179,1200,PPrel,--|,inhibition,hsa05206
226,1179,1232,PPrel,--|,inhibition,hsa05206
227,1223,1225,PPrel,--|,inhibition,hsa05206
228,1224,1226,PPrel,--|,inhibition,hsa05206
229,1207,1208,PPrel,--|,inhibition,hsa05206
